Species,name
AUL,Australian blackspot catshark
HAA,Arabian catshark
HAB,Speckled catshark
HAE,Blackspotted catshark
HAN,Dusky catshark
HAO,New Zealand catshark
HAH,Bristly catshark
HAV,Spotless catshark
HAY,Lined catshark
HAG,Mud catshark
HAK,Tiger catshark
HAQ,Quagga catshark
PEU,Onefin catshark
CPF,Reticulated swellshark
CPS,Draughtsboard shark
CPT,Australian swellshark
CPN,Whitefinned swellshark
CPA,Indian swellshark
CPH,Balloon shark
CPB,Blotchy swell shark
CPV,Swellshark
CPC,Lollipop catshark
POU,Striped catshark
POE,Barbeled catshark
POH,Leopard catshark
SYX,"Catsharks, etc. nei"
BSH,Blue shark
CIO,Daggernose shark
LMT,Broadfin shark
CNX,Whitenose shark
CCP,Sandbar shark
CCY,Graceful shark
CCL,Blacktip shark
BLR,Blacktip reef shark
AML,Grey reef shark
CCF,Pigeye shark
CCX,Borneo shark
CCN,Blacknose shark
CCC,Nervous shark
OCS,Oceanic whitetip shark
CCR,Smalltail shark
CCD,Whitecheek shark
CCZ,Creek whaler
DUS,Dusky shark
FAL,Silky shark
CCE,Bull shark
ALS,Silvertip shark
BRO,Copper shark
CCB,Spinner shark
CCI,Blackspot shark
CCS,Night shark
CCM,Hardnose shark
CCO,Finetooth shark
CCA,Bignose shark
CCG,Galapagos shark
CCK,Pondicherry shark
CCJ,
CCV,Caribbean reef shark
CCQ,Spot-tail shark
CCU,Australian blacktip shark
CCW,Blacktail reef shark
CWZ,Carcharhinus sharks nei
TIG,Tiger shark
SLA,Spadenose shark
TRB,Whitetip reef shark
NGB,Lemon shark
NGA,Sicklefin lemon shark
CLD,Sliteye shark
CGA,Ganges shark
CGG,Speartooth shark
RHT,Atlantic sharpnose shark
RHA,Milk shark
RHL,Brazilian sharpnose shark
RHU,Pacific sharpnose shark
RHX,Grey sharpnose shark
RHR,Caribbean sharpnose shark
RHY,Australian sharpnose shark
RHZ,Sharpnose sharks nei
RSK,Requiem sharks nei
EUB,Winghead shark
SPZ,Smooth hammerhead
SSN,Scalloped bonnethead
SPV,Whitefin hammerhead
SPL,Scalloped hammerhead
SPE,Scoophead
SPQ,Smalleye hammerhead
SPJ,Bonnethead
SPK,Great hammerhead
SPN,Hammerhead sharks nei
SPY,"Hammerhead sharks, etc. nei"
CTU,Gummy shark
CTN,Grey smooth-hound
CTI,Dusky smooth-hound
CTD,Sharptooth smooth-hound
CTF,Striped smooth-hound
CTE,Spotless smooth-hound
CTK,Brown smooth-hound
CTJ,Smalleye smooth-hound
MTL,Spotted estuary smooth-hound
MUU,Sicklefin smooth-hound
MTZ,Starspotted smooth-hound
SDP,Narrownose smooth-hound
SMD,Smooth-hound
MTR,Narrowfin smooth-hound
SDS,Starry smooth-hound
MTE,Speckled smooth-hound
MTM,Arabian smooth-hound
MUP,Whitespotted smooth-hound
MPT,Blackspotted smooth-hound
MUW,Humpback smooth-hound
SDV,Smooth-hounds nei
GAG,Tope shark
TTA,Sharpfin houndshark
LES,Leopard shark
TTM,Spotted houndshark
TTE,Sharptooth houndshark
TTY,Banded houndshark
TIK,Longnose houndshark
TIO,Bigeye houndshark
TGF,Sailback houndshark
THH,Blacktipe tope
TFM,Whiskery shark
THJ,Japanese topeshark
THL,Whitefin topeshark
TSK,Flapnose houndshark
TRK,"Houndsharks, smoothhounds nei"
PTM,False catshark
HCM,Hooktooth shark
HEE,Snaggletooth shark
HEC,Whitetip weasel shark
HEI,Atlantic weasel shark
HEN,Straight-tooth weasel shark
IEI,Slender weasel shark
HEH,Sicklefin weasel shark
CLL,Barbeled houndshark
CPE,Harlequin catshark
PEB,Cuban ribbontail catshark
PEA,Pygmy ribbontail catshark
PED,African ribbontail catshark
CPG,Slender smooth-hound
CPY,Graceful catshark
CVX,Ground sharks
GSK,Greenland shark
SOR,Little sleeper shark
SON,Pacific sleeper shark
CHZ,Roughskin spurdog
CHF,Mandarin dogfish
EUZ,Taillight shark
HYY,Longnose pygmy shark
QUB,Longnose spurdog
QUC,Cuban dogfish
QUJ,Japanese spurdog
DGS,Picked dogfish
QUK,Shortspine spurdog
QUR,Cyrano spurdog
QUN,Blacktailed spurdog
DOP,Shortnose spurdog
QYW,Spotted spiny dogfish
DGZ,Dogfishes nei
GUP,Gulper shark
CPU,Little gulper shark
GUQ,Leafscale gulper shark
CPL,Lowfin gulper shark
CEA,Needle dogfish
CEU,Dumb gulper shark
CEM,Smallfin gulper shark
CEK,Taiwan gulper shark
CEE,Mosaic gulper shark
GVA,Blackfin gulper shark
GVI,Black gulper shark
CWO,Gulper sharks nei
ETX,Velvet belly
ETB,Blurred smooth lantern shark
ETH,Shorttail lanternshark
ETU,Lined lanternshark
ETR,Great lanternshark
ETP,Smooth lanternshark
ETI,Broadbanded lanternshark
ETM,Southern lanternshark(Lucifer)
ETN,Carribean lanternshark
ETF,Blackbelly lanternshark
ETL,Mollers lantern shark
ETT,African lanternshark
ETZ,Fringfin lanternshark
ETQ,Thorny lanternshark
ETK,Splendid lanternshark
ETJ,Brown lanternshark
ETV,Hawaiian lanternshark
ETW,Green lanternshark
ETE,
ETO,Combtoothed lanternshark
SHL,Lanternsharks nei
ISB,Cookie cutter shark
ISP,Largetooth cookiecutter shark
EUP,Pygmy shark
DCA,Birdbeak dogfish
SDH,Rough longnose dogfish
SDU,Arrowhead dogfish
SDQ,Longsnout dogfish
DNA,Deania dogfishes nei
YSA,Whitetail dogfish
YSS,Sherwood dogfish
CYO,Portuguese dogfish
CYP,Longnose velvet dogfish
CYY,Shortnose velvet dogfish
CYW,Roughskin dogfish
CYU,Plunket shark
CZI,
SYO,Smallmouth knifetooth dogfish
SYR,Knifetooth dogfish
YSM,Largespine velvet dogfish
SSQ,Velvet dogfish
QUX,Scymnodon dogfishes nei
SCK,Kitefin shark
CFB,Black dogfish
CYG,Granular dogfish
CYK,Bareskin dogfish
CYN,Combtooth dogfish
CYT,Ornate dogfish
CYR,Whitefin dogfish
YCX,Centroscyllium dogfishes nei
ACN,Hooktooth dogfish
QUA,Smalleye pygmy shark
QUL,Spined pygmy shark
DGX,Dogfish sharks nei
DGH,Dogfishes and hounds nei
PPC,Longnose sawshark
PPJ,Japanese sawshark
PPU,Shortnose sawshark
PPH,Bahamas sawshark
PPW,Sixgill sawshark
PWS,Sawsharks nei
AGN,Angelshark
SUA,Sawback angelshark
SUF,African angelshark
SUG,Argentine angelshark
SUU,Australian angelshark
SUC,Pacific angelshark
SUD,Sand devil
SUO,Taiwan angleshark
SUJ,Japanese angelshark
SUL,Clouded angelshark
SUT,Smoothback angelshark
SUE,Ornate angelshark
SUN,Ocellated angelshark
SWV,Angular angel shark
SZJ,Hidden angel shark
ASK,"Angelsharks, sand devils nei"
OXY,Angular roughshark
OXN,Sailfin roughshark
OXB,Prickly dogfish
OXC,Caribbean roughshark
OXZ,Japanese roughshark
SHB,Bramble shark
ECK,Prickly shark
SHX,"Dogfish sharks, etc. nei"
RRA,Short-snouted shovelnose ray
RAR,Eastern shovelnose ray
RAV,Western shovelnose ray
RPS,
RPT,Thornback guitarfish
RCA,Whitespotted wedgefish
RCD,Giant guitarfish
RCL,African wedgefish
RHD,Annandale's guitarfish
RBA,
RBB,
RHH,Bluntnose guitarfish
RBE,Lesser guitarfish
RBC,Blackchin guitarfish
RHF,
GUD,Chola guitarfish
GUF,Pacific guitarfish
RBH,Halavi ray
RBO,Slender guitarfish
RBN,
RBI,
GUB,Whitespotted guitarfish
RBU,Whitesnout guitarfish
RBS,Grayspottted guitarfish
RBD,
RBM,
RBL,Speckled guitarfish
RHO,
RBP,Shovelnose guitarfish
RBF,
RBX,Common guitarfish
RBW,
RBZ,Brown guitarfish
RBV,Thouin ray
RBQ,Giant shovelnose ray
RBK,Brazilian guitarfish
RBR,Granulated guitarfish
RBT,Atlantic guitarfish
GUZ,Guitarfishes nei
RZS,
RZE,Banded guitarfish
RRY,Bowmouth guitarfish
RTF,Southern fiddler
RTG,
RTM,Magpie fiddler ray
GTF,"Guitarfishes, etc. nei"
RPA,Pointed sawfish
RPC,Dwarf sawfish
RPM,Largetooth sawfish
RPP,Smalltooth sawfish
RPR,Common sawfish
RPZ,Longcomb sawfish
SAW,Sawfishes
RJB,Blue skate
RJC,Thornback ray
RJR,Starry ray
RJM,Spotted ray
RJH,Blonde ray
RJI,Sandy ray
RJF,Shagreen ray
JAK,Yellowspotted skate
RJE,Small-eyed ray
RJN,Cuckoo ray
RJO,Longnosed skate
RJU,Undulate ray
RFS,Roughbelly skate
RFT,Starry skate
RFY,Prow-nose skate
RFL,Spotted skate
RFA,Whiteleg skate
JAB,Prickly brown ray
JAE,
JAF,Roundel skate
JAZ,Wedgenose skate
JAG,Velez ray
RJA,White skate
JAH,Longnose skate
JFB,Bigmouth skate
RFO,Rondelet's ray
RFX,
JFC,
RJY,Round ray
SRR,Antarctic starry skate
JRK,Ocellate skate
JRA,
JRF,African ray
JRN,
JRS,Mediterranean starry ray
JRU,Sydney skate
JRB,Broad skate
JRH,Deep-water ray
JRW,Bigelow's ray
JRI,Big skate
JRO,
JRL,Bullis skate
JRM,Blackspot skate
JRT,Spotback skate
JRD,Munchskin skate
JRV,White-spotted skate
JRG,Finspot ray
JRR,
JRJ,
JRZ,Cortez' ray
JRY,Eyespot skate
JRX,
JRQ,Ghost skate
JFD,Violet skate
JFE,Clearnose skate
JFQ,Ecuatorial ray
RJD,Little skate
JFF,
JFG,Freckled skate
JFI,
JFU,Greenback skate
JFH,
JFW,
JFO,
RJG,Arctic skate
JFN,
JFR,California ray
RJJ,Shorttail skate
JFJ,
JFK,
RJL,Barndoor skate
JFA,Rattail skate
JFM,Thornback skate
JFS,
JFV,Leopard skate
JFX,
RJK,Sailray
JRC,
JFY,Madeiran ray
JFZ,
JAM,Maltese ray
JAI,Brown ray
JAT,Rough skate
JAD,Norwegian skate
RJT,Winter skate
JAO,Spreadfin skate
JRP,
JFP,Argus skate
JAY,Speckled ray
JAW,
JAU,
JAL,Slime skate
JAV,
JAR,Rough ray
RFV,Smoothback skate
SKA,Raja rays nei
BEA,Eaton's skate
BAM,McCain's skate
BMU,Murray's skate
BYC,
BYD,
BYY,Deep-sea skate
BYA,Aleutian skate
BYV,
BYG,
BYH,
BYI,Sandpaper skate
BYR,Kerguelen sandpaper skate
BYT,
BYL,Commander skate
BYM,
BYE,Dark-belly skate
BYN,
BYO,
BYP,Pale ray
BYF,Alaska skate
BYQ,Richardson's ray
BYJ,Flathead skate
BYU,Longnose deep-sea skate
BYK,
BYX,
BYZ,
RJQ,Spinetail ray
BJS,Spiny skate
BJT,
BJR,Roughtail skate
BJZ,
BJV,Okhotsk skate
BZB,Broadnose skate
BZM,Patagonian skate
BZS,Cuphead skate
BHY,Bathyraja rays nei
RAY,Longtail skate
CJA,Cuban legskate
CJD,Smoothnose legskate
CJP,Roughnose legskate
CJY,
CJT,Triangular legskate
RGA,
RGS,
RIW,Southern round skate
RJP,Soft skate
RJS,Smooth skate
JFT,Krefft's ray
RNA,
RNS,African pygmy skate
RNO,
RNU,
RNT,
PJA,Allens skate
PJS,Smooth deep-sea skate
PJX,
PJN,Peacock skate
PJF,Prickly deep-sea skate
RHK,Dapple-bellied softnose skate
RHJ,
RHE,
DPQ,New Zealand smooth skate
ZRN,New Zealand rough skate
DPV,Yellownose skate
RRW,Rio skate
QMB,Blotched sand skate
QMT,Shortfin sand skate
XMB,Psammobatis sand skates nei
YBQ,Smallnose fanskate
YAW,Bignose fanskate
BVA,
BVC,Blue ray
BVO,
BVU,
BVS,
JRE,Bigthorn skate
RAJ,Rays and skates nei
WST,Whip stingray
RDA,Southern stingray
RDN,Plain maskray
RDB,Bennett's stingray
RDR,Short-tail stingray
RDV,Whiptail stingray
RDC,Roughtail stingray
RDH,
RDD,Diamond stingray
RDF,Estuary stingray
RDG,
RDJ,Sharpsnout stingray
RDI,
RDU,Longnose stingray
RDK,Blue-spotted stingray
PLS,Pelagic stingray
RDO,Mekong stingray
RDT,
RDY,Painted maskray
RDL,Longtail stingray
RDS,Daisy stingray
RDE,
RDQ,
JDM,
RDP,Smalleye stingray
JDP,Common stingray
JDR,
JDS,Atlantic stingray
JDY,Bluntnose stingray
JDT,Thorntail stingray
JDO,Tortonese's stingray
RDW,
RDX,
RDZ,Pale-edged stingray
STI,Stingrays nei
DYP,Cowtail stingray
RTB,Round stingray
RTY,Ribbontail stingray
RTE,Round ribbontail ray
RUA,Porcupine ray
RUN,Butterfly ray
DHK,
DHB,Bleeker's whipray
DHC,Freshwater whipray
DHD,Dragon stingray
DHF,Pink whipray
DHU,
DHG,Sharpnose stingray
DHR,Mangrove whipray
DHM,Scaly whipray
DHJ,Jenkins whipray
DHE,
DHN,Blackedge whipray
DHX,Marbled whipray
DHP,Pacific chupare
DHH,Chupare stingray
DHS,White-rimmed stingray
DHT,Black-spotted whipray
DHV,Honeycomb stingray
DHL,Leopard whipray
DHW,Dwarf whipray
DKL,
STT,"Stingrays, butterfly rays nei"
PPT,
PPY,
PPE,
PPM,
PPR,South American freshwater stin
PPI,
PPP,
QEX,Freshwater river stingray nei
MAF,Longheaded eagle ray
MAE,Spotted eagle ray
MAO,Ocellated eagle ray
AQX,
MYL,Common eagle ray
MYR,Australian bull ray
MYF,Bat eagle ray
MYH,
MYM,Bullnose eagle ray
MYO,Southern eagle ray
MYY,Purple eagle ray
MYT,Snouted eagle ray
MYD,Eagle ray
MYJ,Japanese eagle ray
MWX,
MPA,Rough eagle ray
MPO,Bull ray
MRA,Rough cownose ray
MRB,Cownose ray
MRR,Ticon cownose ray
MRJ,Flapnose ray
MRY,Oman cownose ray
MRM,Lusitanian cownose ray
MRN,Australian cownose ray
MRS,Pacific cownose ray
NZX,
RYM,Mottled eagle ray
RYV,
RYH,Banded eagle ray
RYE,Ornate eagle ray
RJX,
EAG,Eagle rays nei
RMA,
RMB,Giant manta
MNT,Manta rays
RMC,
RME,Longhorned mobula
RMH,Lesser devil ray
RMJ,Spinetail mobula
RMK,Shortfin devil ray
RMM,Devil fish
RMU,Munk's devil ray
RMR,
RMN,Lesser Guinean devil ray
RMT,Chilean devil ray
RMO,Smoothtail mobula
RMV,Mobula nei
MAN,"Mantas, devil rays nei"
RGL,Spiny butterfly ray
RGU,Australian butterfly ray
RGC,Longsnout butterfly ray
RGJ,Japanese butterflyray
RGM,California butterfly ray
RGI,Smooth butterfly ray
RGP,Long-tailed butterfly ray
RGT,Tentacled butterfly ray
RGZ,Zonetail butterfly ray
QPI,
RBY,Butterfly rays nei
HHB,Sixgill stingray
HHL,
RTJ,
RTK,
RTU,Western shovelnose stingaree
RTO,Striped stingaree
RTP,Masked stingaree
RUR,
RUU,
RUC,Sandyback stingaree
RUI,Circular stingaree
RUO,Spot-on-spot round ray
RUT,Crossback stingaree
RUE,Wide stingaree
RUV,Patchwork stingaree
RUG,Spotted stingaree
RUH,Haller's round ray
RUJ,Yellow stingray
RUL,Lobed stingaree
RUM,Spotted round ray
RUK,Mitotic stingaree
RUQ,Coastal stingaree
RUP,Sparsely-spotted stingaree
RUX,Yellowback stingaree
RUY,Common stingaree
RUZ,Greenback stingaree
RUW,Brown stingaree
RVX,
JUA,Spiny-tail round ray
JUC,Chilean round ray
JUM,
JUU,Munda round ray
JUN,Dwarf round ray
JUR,Reticulate round ray
JUO,Rogers' round ray
JUS,Fake round ray
RAM,
RAO,
RAU,Spotted legskate
RAN,
RAH,Black legskate
RPD,Deep-water stingray
SRX,"Rays, stingrays, mantas nei"
TTB,Rosette torpedo
TTC,Pacific electric ray
TTF,New Zealand torpedo
TTU,Black-spotted torpedo
TTN,Ringed torpedo
TTI,Shorttail torpedo
TTR,Marbled electric ray
TTO,Electric ray
TTT,Panther electric ray
TTD,Peruvian torpedo
TTJ,Variable torpedo ray
TTQ,Trapezoid torpedo
TTV,Common torpedo
TTW,Chilean torpedo
TZP,Argentine torpedo
TOE,Torpedo rays
TTP,Australian numbfish
TOD,Electric rays nei
TNB,Blind torpedo
TNC,
TND,Ocellated electric ray
TNP,
TNY,
TNH,Natal electric ray
TNM,
TNA,Brazilian electric ray
TNR,
TNU,Brown numbfish
TNE,Giant electric ray
TNI,
TNL,
TNO,
TNN,Slender electric ray
TNT,Tasmanian numbfish
TNQ,Spotted numbfish
TNV,Vermiculate electric ray
TNW,Banded numbfish
TNK,Onefin electric ray
TNG,Numbray
TNJ,
NTH,
NTY,Blind electric ray
NTT,Oval electric ray
TOF,"Electric rays, etc.nei"
CMO,Rabbit fish
CMH,Silver chimaera
CMS,
CMW,
CMU,
DDR,Cape chimaera
CWM,
RAT,Spotted ratfish
CYA,Smalleyed rabbitfish
CYF,African chimaera
CYL,
CYB,
CYD,Philippine chimaera
CYI,
CYS,Blackfin ghostshark
CYH,Large-eyed rabbitfish
CYX,
CYV,Dark ghost shark
CYJ,
CYZ,
CHV,Purple chimaera
HYD,Ratfishes nei
RCT,Straightnose rabbitfish
RCP,Pacific spookfish
RHC,Knife-nosed chimaeras nei
HCH,Smallspine spookfish
HCR,Pacific longnose chimaera
HAR,Longnose chimaeras
CNN,Sicklefin chimaera
CHB,Ghost shark
CHJ,Plownose chimaera
CHM,Cape elephantfish
CAH,"Elephantfishes, etc. nei"
HOL,"Chimaeras, etc. nei"
CNF,Australian lungfish
LLP,South American lungfish
CLC,Coelacanth
PPD,
PPV,
PEC,Reedfish
PPB,Marbled lungfish
PPG,West African lungfish
FLU,African lungfishes
APU,Sturgeon
APG,Danube sturgeon(=Osetr)
AAA,Adriatic sturgeon
APR,Sterlet sturgeon
APE,Starry sturgeon
AAN,Fringebarbel sturgeon
AAF,Lake sturgeon
AAO,Atlantic sturgeon
APN,White sturgeon
AAY,Shortnose sturgeon
APB,Siberian sturgeon
AAH,Amur sturgeon
AAD,Yangtze sturgeon
AAM,Green sturgeon
AAK,Sakhalin sturgeon
AAP,Persian sturgeon
AAI,Chinese sturgeon
AAU,Japanese sturgeon
PHF,Shovelnose sturgeon
PHS,Pallid sturgeon
QAN,Alabama sturgeon
HUH,Beluga
AHM,Kaluga
PSN,Dwarf sturgeon
PSF,Amu Darya sturgeon
QAM,Syr Darya sturgeon
STU,Sturgeons nei
PAM,Mississippi paddlefish
AHG,Chinese swordfish
AAC,Bowfin
LLO,Longnose gar
LFV,Florida gar
LVQ,Shortnose gar
LVT,Spotted gar
LET,Cuban gar
LLS,Alligator gar
JTP,Tropical gar
LKX,
LXS,Gars nei
SUX,
HER,Atlantic herring
HEP,Pacific herring
CBK,Dogtooth herring
AGC,Bleeker smoothbelly sardinella
AGL,Smoothbelly sardinella
AGS,Spotted sardinella
CUI,Caspian shad
SHC,Pontic shad
SHA,American shad
ASD,Allis shad
TSD,Twaite shad
ALE,Alewife
BBH,Blueback shad
SHH,Hickory shad
CUK,Caspian marine shad
CUA,Alabama shad
CUE,Caspian anadromous shad
SHE,Black Sea shad
CUV,Saposhnikovi shad
CUH,Agrakhan shad
SHZ,Shads nei
SHD,Allis and twaite shads
SDY,Deepbody sardinella
TWA,Yellowtail sardinella
SAG,Goldstripe sardinella
IOS,Indian oil sardine
SDM,Blacktip sardinella
FRS,Fringescale sardinella
SDI,Sind sardinella
SAA,Round sardinella
SDN,East African sardinella
SDJ,Mauritian sardinella
SAE,Madeiran sardinella
SDB,White sardinella
JSS,Japanese sardinella
SAM,Bali sardinella
BSR,Brazilian sardinella
FJS,Fiji sardinella
SIX,Sardinellas nei
JAP,Japanese pilchard
CPI,California pilchard
CHP,South American pilchard
PIA,Southern African pilchard
SRP,Australian pilchard
JNX,Pilchards nei
CKT,Kura shad
ASP,Caspian shads
SIA,Lake Tanganyika sprat
SHG,American gizzard shad
CDA,Threadfin shad
DQX,Gizzard shad nei
RIA,Amazon spinejaw sprat
OXL,Losera fangtooth pellonuline
PLO,Smalltoothed pellonula
OZY,Bigtoothed pellonula
CHG,Chacunda gizzard shad
MHS,Brazilian menhaden
MHP,Argentine menhaden
MHA,Atlantic menhaden
MHG,Gulf menhaden
MHT,Yellowfin menhaden
MVX,Menhadens nei
CUO,Borneo River sprat
CLK,Ganges River sprat
RAS,Rainbow sardine
RAL,Slender rainbow sardine
RWA,Rainbow sardines nei
BOA,Bonga shad
RRH,Red-eye round herring
WRR,Whitehead's round herring
CGI,Ganges River gizzard shad
CGD,Burmese river gizzard shad
HCC,False herring
HCU,Redear herring
HCT,Pacific flatiron herring
HCG,Scaled herring
SAS,Scaled sardines
HIX,Kelee shad
CJL,Dwarf round herring
CJS,Florida round herring
HIL,Hilsa shad
THT,Laotian shad
REE,Reeves shad
TOL,Toli shad
TWN,Longtail shad
CNS,Bloch's gizzard shad
NCO,Western Pacific gizzard shad
CNE,Australian river gizzard shad
CNJ,Japanese gizzard shad
DNB,Arabian gizzard shad
DNH,
DNN,
THP,Pacific thread herring
THA,Atlantic thread herring
OPU,Slender thread herring
OPM,Middling thread herring
THX,Thread herrings nei
SRH,Silver-stripe round herring
SPD,Delicate round herring
CUY,Ansorge fangtooth pellonuline
CUM,Nigerian fangtooth pellonuline
CGH,Indian river shad
DAS,Chinese gizzard shad
CLA,Black and Caspian Sea sprat
CLE,Anchovy sprat
CLG,Southern Caspian sprat
CWA,Black-Caspian Sea sprats nei
DOD,Dotted gizzard shad
LCP,Atlantic piquitinga
LCS,Pacific piquitinga
PIL,European pilchard(=Sardine)
CGR,Gilchrist's round herring
SPR,European sprat
FAS,Falkland sprat
MES,Pacific menhaden
HES,Bluestripe herring
HKD,Blacksaddle herring
HKG,Goto's herring
HKL,Gulf herring
JBL,Spotback herring
JJF,Reunion herring
EST,White sardine
LTM,Lake Tanganyika sardine
CKI,Araucanian herring
PLP,River Plate sprat
RTA,Jenyns's sprat
PCD,Australian freshwater herring
SRB,Two-finned round herring
CDM,Day's round herring
THN,Sanaga pygmy herring
CDK,Roundbelly pellonuline
SRL,West African pygmy herring
MCX,Royal sprat
PTU,Sharpnosed sawtooth pellonul.
PCM,Lake Mweru sprat
CNR,Lake Tumba dwarf sprat
CUR,Thai river sprat
CVU,Sumatran river sprat
CEF,Malabar sprat
CGS,Smoothbelly pellonuline
SUM,Madagascar round herring
HPV,Sandy sprat
CLP,"Herrings, sardines nei"
DAG,Dagaas (=Kapenta)
ANE,European anchovy
JAN,Japanese anchovy
ANA,Argentine anchovy
NPA,Californian anchovy
VET,Anchoveta(=Peruvian anchovy)
ANC,Southern African anchovy
ENR,Anchovies nei
EAS,Rio Negro pygmy anchovy
END,Devis' anchovy
ECT,Shorthead anchovy
STL,Buccaneer anchovy
EJJ,Jurua anchovy
EPM,Littlefin anchovy
AVA,Atlantic anchoveta
VEP,Pacific anchoveta
EAA,Regan's anchovy
EAR,Short anchovy
